Tool,Description_words,History_words,Technical_words,Strengths_words,Weaknesses_words,Total_words
ade4,98,123,181,109,133,644
Agisoft PhotoScan/Metashape,96,120,176,96,111,599
AION,105,112,189,111,121,638
Annotorious,91,113,227,104,123,658
ArcGIS skeletal templates,104,110,192,112,122,640
Arch-I-Scan,94,138,240,129,153,754
"ArchaeoGRID (found when GridMachine failed, identified in response as 'closest tool')",74,110,160,100,90,534
ArchaeoPhases,107,118,190,136,123,674
ArchAIDE,108,130,233,146,150,767
ArchEd,70,90,181,100,117,558
ArcheoFrag,118,125,271,134,138,786
archeoViz,86,109,176,110,110,591
ARIADNE,106,135,244,123,126,734
BCal,77,113,135,68,60,453
Bchron,87,117,214,110,120,648
bleiglas,91,88,205,101,93,578
c14bazAAR,99,132,186,99,88,604
DataScribe,89,140,266,112,138,745
DepthmapX,77,61,118,59,69,384
Distant Viewing Toolkit,96,109,182,97,91,575
dplR,101,98,154,91,101,545
Endovélico,97,118,203,87,86,591
FellingDater,77,93,149,107,109,535
FieldWorker,93,112,183,81,89,558
FilmColors (VIAN),85,124,183,97,96,585
Gephi,89,123,230,131,126,699
glottospace,102,105,191,136,149,683
glottoTrees,102,123,161,108,123,617
gvSIG,77,107,196,109,124,613
HTMLfig,82,74,178,96,91,521
htmltoc,66,115,170,72,75,498
iconr,113,125,282,165,179,864
iDig,114,146,203,142,138,743
Intrasis,124,157,277,162,194,914
Kairos,112,132,211,133,131,719
kdedemo,105,182,211,103,122,723
KLRfome,117,111,238,123,122,711
LSS (Land Survey System),87,113,190,88,111,589
LifeForms,100,120,192,108,118,638
lingtypology,87,143,240,114,123,707
lingtypR,101,115,195,145,156,712
LogicistWriter,72,110,177,98,111,568
Luminescence,119,160,252,185,177,893
MapReader,101,131,247,160,167,806
"MASA Consortium (Mémoires des Archéologues et des Sites Archéologiques) - split into three tools: LogicistWriter, OpenArchaeo, and OpenGuide",70,96,162,102,91,521
Mask R-CNN,89,110,219,117,121,656
Matrix Manager,91,108,170,82,98,549
MicroStation,137,149,273,131,139,829
OASIS,118,167,222,107,105,719
OpenArchaeo (semantic web platform),88,121,227,128,136,700
OpenGuide ( (a best practices distribution platform) - initial fail without clarification,95,106,157,93,99,550
oxcAAR,93,114,217,108,111,643
OxCal,110,175,261,189,191,926
Perseus Digital Library,112,163,261,168,182,886
PhotoModeler,139,152,194,128,163,776
Polynomial Texture Mapping (PTM),74,107,187,110,103,581
PyLithics,72,101,168,61,59,461
qlcData,92,102,192,96,114,596
rcarbon,109,154,309,176,184,932
recexcavAAR,54,53,100,54,59,320
Rhino for AutoCAD,85,146,273,175,172,851
Rhinoceros 3D (suggested by Rhino for AutoCAD),112,155,252,171,169,859
SASSA,122,146,228,135,144,775
Scripto,94,211,250,160,151,866
SEAHORS,111,129,216,145,149,750
Shoredate,168,172,301,163,182,986
SpadeR,124,145,255,119,98,741
ArcGIS Spatial Analyst,54,74,73,45,43,289
STAR,78,116,192,99,122,607
STELLAR - initial fail but it mentioned the correct tool in passing; had to re-run with clarificaiton provided in that mention,110,154,241,149,173,827
straditize,88,118,210,143,150,709
StratiGraf,96,107,179,81,100,563
stratigraphr,91,122,196,145,149,703
Survey2GIS,107,104,181,99,88,579
Tabula,93,144,219,123,118,697
TensorFlow,69,98,181,161,162,671
TimeMap,103,131,207,124,124,689
TrueSpace,113,158,242,144,168,825
vegan,98,142,228,160,171,799
VirtualArch,98,126,215,99,109,647
Vistamorph,115,158,216,118,125,732
VistaPro,91,110,197,88,106,592
Voro++,89,122,205,131,106,653
VOSviewer,121,157,232,140,165,815
WallGIS,87,102,200,117,128,634
WaveSurfer,98,129,220,162,189,798
POV-Ray (split from Wcvt2Pov),121,172,299,148,166,906
XVR,102,136,258,137,165,798
Zooniverse Project Builder,106,133,205,132,146,722
